char	iwp	n_word	n_char
倰	1.000000	343	343
倱	1.000000	306	306
倲	1.000000	480	480
倳	1.000000	568	568
倵	1.000000	385	385
倶	1.000000	493	493
倷	1.000000	429	429
倸	1.000000	387	387
倹	1.000000	296	296
偀	1.000000	337	337
偂	1.000000	555	555
偄	1.000000	399	399
偅	1.000000	520	520
偆	1.000000	413	413
偊	1.000000	439	439
偋	1.000000	247	247
偍	1.000000	430	430
偐	1.000000	373	373
偑	1.000000	466	466
偒	1.000000	342	342
偓	1.000000	515	515
偔	1.000000	347	347
偖	1.000000	340	340
偗	1.000000	378	378
偘	1.000000	300	300
偙	1.000000	466	466
偛	1.000000	449	449
偝	1.000000	498	498
偞	1.000000	381	381
偠	1.000000	630	630
偡	1.000000	373	373
偣	1.000000	469	469
偤	1.000000	280	280
偦	1.000000	348	348
偧	1.000000	286	286
偨	1.000000	382	382
偩	1.000000	381	381
偪	1.000000	29	29
偫	1.000000	320	320
偬	1.000000	100	100
偭	1.000000	469	469
偮	1.000000	329	329
偯	1.000000	284	284
偰	1.000000	415	415
偱	1.000000	420	420
偳	1.000000	309	309
偸	1.000000	572	572
偹	1.000000	346	346
偺	1.000000	10	10
偼	1.000000	365	365
傁	1.000000	242	242
傂	1.000000	285	285
傃	1.000000	380	380
傄	1.000000	217	217
傆	1.000000	489	489
傇	1.000000	268	268
傉	1.000000	395	395
傊	1.000000	249	249
傋	1.000000	455	455
傌	1.000000	410	410
傎	1.000000	364	364
傏	1.000000	295	295
傐	1.000000	198	198
傓	1.000000	290	290
傔	1.000000	332	332
傕	1.000000	509	509
傗	1.000000	353	353
傚	1.000000	233	233
傛	1.000000	528	528
傜	1.000000	480	480
傝	1.000000	464	464
傞	1.000000	437	437
傟	1.000000	336	336
傠	1.000000	316	316
傡	1.000000	209	209
傪	1.000000	411	411
傫	1.000000	482	482
傮	1.000000	238	238
傰	1.000000	289	289
傱	1.000000	336	336
傶	1.000000	238	238
傸	1.000000	203	203
傹	1.000000	365	365
傺	1.000000	475	475
傼	1.000000	238	238
傽	1.000000	263	263
傿	1.000000	309	309
僀	1.000000	348	348
僁	1.000000	235	235
僃	1.000000	304	304
僄	1.000000	318	318
僆	1.000000	353	353
僈	1.000000	412	412
僊	1.000000	3	3
僋	1.000000	395	395
僌	1.000000	310	310
働	1.000000	503	503
僎	1.000000	321	321
僐	1.000000	412	412
僒	1.000000	296	296
僓	1.000000	245	245
僔	1.000000	369	369
僗	1.000000	404	404
僘	1.000000	278	278
僙	1.000000	287	287
僛	1.000000	416	416
僜	1.000000	397	397
僝	1.000000	345	345
僟	1.000000	482	482
僠	1.000000	290	290
僡	1.000000	349	349
僢	1.000000	354	354
僣	1.000000	29	29
僤	1.000000	500	500
僩	1.000000	385	385
僪	1.000000	331	331
僫	1.000000	407	407
僯	1.000000	298	298
僰	1.000000	526	526
僴	1.000000	336	336
僶	1.000000	328	328
僷	1.000000	462	462
僸	1.000000	445	445
僺	1.000000	306	306
僼	1.000000	291	291
僽	1.000000	387	387
僾	1.000000	616	616
僿	1.000000	362	362
儃	1.000000	372	372
儅	1.000000	49	49
儊	1.000000	385	385
儍	1.000000	631	631
儎	1.000000	372	372
儑	1.000000	330	330
儓	1.000000	342	342
儔	1.000000	582	582
儖	1.000000	366	366
儗	1.000000	408	408
儙	1.000000	335	335
儚	1.000000	499	499
儛	1.000000	540	540
儜	1.000000	379	379
儝	1.000000	191	191
儞	1.000000	443	443
儠	1.000000	345	345
儢	1.000000	269	269
儣	1.000000	344	344
儤	1.000000	348	348
儥	1.000000	243	243
儦	1.000000	351	351
儧	1.000000	233	233
儨	1.000000	344	344
儩	1.000000	282	282
儫	1.000000	335	335
儬	1.000000	414	414
儭	1.000000	539	539
儮	1.000000	300	300
儯	1.000000	270	270
儰	1.000000	471	471
儱	1.000000	442	442
儳	1.000000	332	332
儴	1.000000	453	453
儵	1.000000	435	435
儶	1.000000	309	309
儸	1.000000	6	6
儽	1.000000	394	394
儾	1.000000	224	224
儿	1.000000	500	500
兂	1.000000	550	550
兊	1.000000	368	368
兎	1.000000	568	568
兏	1.000000	284	284
児	1.000000	633	633
兓	1.000000	285	285
兘	1.000000	479	479
兙	1.000000	288	288
兛	1.000000	227	227
兝	1.000000	277	277
兞	1.000000	238	238
兟	1.000000	390	390
兠	1.000000	511	511
兡	1.000000	313	313
兣	1.000000	247	247
兤	1.000000	252	252
兦	1.000000	405	405
兪	1.000000	350	350
兲	1.000000	709	709
关	1.000000	2	2
兾	1.000000	220	220
冂	1.000000	648	648
冃	1.000000	409	409
冄	1.000000	563	563
円	1.000000	689	689
冈	1.000000	100	100
冋	1.000000	528	528
册	1.000000	310	310
冎	1.000000	401	401
冐	1.000000	392	392
冓	1.000000	338	338
冔	1.000000	272	272
