rank	literal	freq
402	我望	84181
403	句	84092
404	一下	83914
405	右	83736
406	正	83113
407	身體	83024
408	細	82045
409	果	81690
410	道	81690
411	返去	81601
412	黃	81601
413	搣	81156
414	跳	81156
415	叻	80889
416	信	80800
417	怕	80711
418	十	80444
419	我見	80444
420	需要	80355
421	門	79910
422	抱	79732
423	咬	79554
424	真	79376
425	請	79020
426	似	78931
427	成爲	78857
428	更加	78664
429	我要	77952
430	決定	77774
431	和	77685
432	嘞	77685
433	答	77596
434	錯	77240
435	我個	77151
436	姐	77062
437	打開	76706
438	經過	75816
439	入去	75549
440	有時	75193
441	離	75193
442	妳	74927
443	當	74927
444	貓	74749
445	楂	74660
446	讀	74482
447	嫁	74126
448	明白	74037
449	相	73948
450	嘉	73859
451	他	73681
452	聲音	73681
453	殺	73503
454	老母	73414
455	早	73236
456	只有	73058
457	誒	72791
458	仲要	72613
459	停	72435
460	污糟	72435
461	我會	71990
462	摸	71990
463	理	71901
464	任何	71812
465	反應	71812
466	學生	71278
467	救	71278
468	以	71100
469	有個	71011
470	不斷	70922
471	情況	70477
472	頭髮	70032
473	謙謙	69587
474	巴士	69498
475	究竟	69498
476	之	69409
477	男	69409
478	兜	69320
479	特別	69320
480	從	69142
481	作爲	68969
482	歲	68964
483	隔離	68786
484	床	68430
485	拖	68430
486	唔通	68341
487	關係	68341
488	乖	67897
489	插	67897
490	很多	67401
491	變	67363
492	皓臻	66740
493	望住	66473
494	記	65850
495	幾時	65761
496	鞋	65761
497	吾	65672
498	喫	65597
499	辦法	65494
500	飛	65494
501	夠	65316
502	男朋友	65316
503	越	64871
504	門口	64871
505	塊	64782
506	聽到	64782
507	支	64693
508	唔記得	64426
509	每	64337
510	嬲	64248
511	揀	64248
512	上去	64159
513	剪	64159
514	明	64159
515	約	64159
516	之間	64070
517	到底	63981
518	淨係	63892
519	非常	63892
520	攬	63803
521	先生	63714
522	一望	63536
523	今晚	63536
524	位	63358
525	也是	63227
526	傻	63002
527	吧	63002
528	細佬	62824
529	生活	62646
530	相信	62023
531	吹	61845
532	粒	61845
533	細妹	61845
534	着	61756
535	後面	61667
536	香港	61578
537	梗係	61489
538	點頭	61401
539	妖	61223
540	沒有	61223
541	波	61223
542	唔使	61045
543	傾	60867
544	噉樣	60600
545	好彩	60511
546	老師	60511
547	頂	60511
548	醫生	60422
549	香	60422
550	生日	60333
551	聽日	60244
552	錫	60155
553	呃	59977
554	陳	59977
555	呆	59888
556	不停	59710
557	啱啱	59710
558	雞	59621
559	明明	59532
560	分鐘	59443
561	認爲	59402
562	梳	59354
563	仍然	59265
564	當時	59265
565	變成	59087
566	只是	58959
567	煮	58909
568	回應	58820
569	只要	58464
570	拉	58464
571	簡單	58464
572	生	58375
573	哈	58019
574	眼前	58019
575	得意	57930
576	飯	57663
577	啪	57574
578	便	57307
579	連	57307
580	凍	57218
581	袋	57218
582	拜拜	57129
583	廁所	57040
584	手指	56862
585	添	56773
586	師姐	56684
587	直接	56684
588	六	56595
589	女朋友	56328
590	同一	56239
591	機會	56150
592	阿心	56150
593	哥	56061
594	爲什麼	55937
595	哈哈	55705
596	路	55705
597	重要	55705
598	舊	55616
599	哇	55438
600	緊張	55438
601	我地	55260
602	醒	55171
603	三葉	54993
604	肯定	54904
605	啖	54815
606	一日	54549
607	刷	54460
608	怪	54460
609	敢	54460
610	然	54371
611	小心	54282
612	我問	54282
613	很	54193
614	咯	54015
615	勤	53926
616	杯	53837
617	少	53481
618	彈	53481
619	本身	53481
620	公園	53303
621	刀	53303
622	家	53125
623	忍	53036
624	正常	52769
625	怪物	52591
626	大概	52502
627	辛苦	52502
628	成個	52413
629	味	52324
630	黑	52324
631	九	52235
632	歌	52235
633	前面	52146
634	線	52146
635	位置	52057
636	部	52057
637	咗個	51879
638	比較	51879
639	細路	51879
640	的人	51876
641	周圍	51612
642	一聲	51523
643	擠	51523
644	屋	51434
645	再次	51345
646	公司	51256
647	幾個	51256
648	攰	51256
649	立即	51256
650	眼神	51167
651	舒服	51167
652	返到	51167
653	翻	51078
654	郁	51078
655	阿明	51078
656	波波	50989
657	訓	50989
658	白色	50722
659	好食	50633
660	擰	50633
661	乾淨	50277
662	能力	50188
663	以後	50010
664	閂	50010
665	飛機	50010
666	妹	49921
667	褲	49921
668	方法	49832
669	溼	49742
670	加上	49565
671	擔心	49565
672	第二	49565
673	唔見	49476
674	阿媽	49476
675	阿妹	49387
676	故事	49298
677	爲了	49292
678	喪屍	49031
679	爬	49031
680	穿	49031
681	對方	48942
682	本來	48942
683	者	48942
684	份	48853
685	我們	48764
686	食飯	48586
687	嗚	48497
688	鳩	48497
689	馬	48408
690	扮	48319
691	番鹼	48230
692	一切	48141
693	得到	48141
694	餵	48141
695	喵	48052
696	過嚟	47963
697	難	47963
698	至	47697
699	試	47697
700	好奇	47430
701	熱	47430
702	指	47341
703	之外	47252
704	執	47252
705	表情	47252
706	樹	47163
707	分	47074
708	勁	47074
709	級	46985
710	結果	46807
711	亂	46718
712	我話	46718
713	等等	46718
714	講完	46718
715	掉	46629
716	火	46451
717	唯有	46273
718	婆婆	46273
719	恐怖	46184
720	你講	45828
721	奶奶	45828
722	紅色	45828
723	電視	45828
724	方	45294
725	果然	45205
726	踢	45116
727	意思	45027
728	哩	44938
729	山	44938
730	臭	44938
731	雙手	44938
732	反而	44849
733	中學	44493
734	抌	44493
735	其中	44404
736	當我	44137
737	俊	44048
738	方向	43959
739	燈	43959
740	點算	43959
741	一早	43870
742	從來	43781
743	裏	43781
744	附近	43603
745	出聲	43514
746	一句	43425
747	轉身	43247
748	一種	43158
749	似乎	43158
750	看	43158
751	卻	42980
752	阿政	42980
753	是不是	42945
754	我的	42812
755	喱	42713
756	一條	42624
757	大叫	42624
758	定係	42535
759	始終	42446
760	冇乜	42357
761	肥	42357
762	親	42268
763	嘅嘢	42179
764	踩	42179
765	大聲	42090
766	遊戲	42090
767	火車	42001
768	所謂	41823
769	放心	41823
770	曾經	41823
771	種	41823
772	裏面	41761
773	樓梯	41734
774	站	41734
775	牙	41645
776	諗起	41645
777	講過	41556
778	遠	41556
779	永遠	41467
780	壞	41378
781	蚊	41378
782	啥	41314
783	出面	41289
784	解釋	41200
785	包	41111
786	推	41111
787	睇住	41111
788	個樣	41022
789	影	41022
790	扯	41022
791	甚至	41022
792	我知	40845
793	放學	40845
794	認真	40756
795	屙	40667
796	機	40667
797	你的	40592
798	直到	40578
799	嘅人	40489
800	雪糕	40489
801	曬	40400
802	秒	40400
803	興奮	40400
804	鬧	40400
805	掛住	40311
806	選擇	40311
807	保護	40222
808	肉	40222
809	手機	40044
810	接受	40044
811	唔好意思	39866
812	蘋果	39866
813	手上	39777
814	發出	39777
815	變得	39688
816	個個	39599
817	無論	39599
818	行爲	39505
819	血	39332
820	警察	39332
821	搽	39243
822	曳	39243
823	筆	39243
824	原因	39154
825	堂	39154
826	接	39065
827	呵	38976
828	大佬	38976
829	詩音	38976
830	貓貓	38976
831	那	38976
832	晚	38887
833	游	38798
834	哪裏	38748
835	叫做	38709
836	玩具	38709
837	魚	38709
838	拿	38620
839	奇怪	38531
840	感受	38531
841	距離	38531
842	真的	38505
843	幸福	38442
844	揸	38442
845	改變	38442
846	眼淚	38442
847	叔叔	38353
848	實	38353
849	師父	38353
850	瑜	38264
851	嘴	38175
852	重	38175
853	掂	38086
854	神	38086
855	嚮	37997
856	佬	37908
857	掛	37908
858	流	37908
859	留	37819
860	差	37641
861	自殺	37641
862	擒	37552
863	甩	37552
864	能夠	37552
865	講到	37552
866	人生	37463
867	八	37463
868	熄	37463
869	先至	37374
870	姨姨	37196
871	開口	37196
872	自然	37107
873	英文	37018
874	好的	37004
875	尷尬	36840
876	半	36751
877	成功	36751
878	總之	36751
879	之中	36662
880	臉	36662
881	轆	36662
882	鐘意	36573
883	並	36395
