rank	literal	freq
369	澳門	2936
370	火燒	2936
371	熱戀	2936
372	爹地	2936
373	犯賤	2936
374	猶如	2936
375	甜美	2936
376	由頭	2936
377	相愛	2936
378	石屎	2936
379	紀錄	2936
380	綺	2936
381	美女	2936
382	耍	2936
383	聽筒	2936
384	臨時	2936
385	舉手	2936
386	莫名	2936
387	處境	2936
388	蜈蚣	2936
389	記性	2936
390	話音	2936
391	迷惘	2936
392	郁手	2936
393	間接	2936
394	隊友	2936
395	難聽	2936
396	食屎	2936
397	工商	2928
398	掙錢	2922
399	年初	2910
400	莊家	2895
401	研製	2886
402	評選	2885
403	媳婦	2883
404	轉型	2881
405	越南	2874
406	借鑑	2869
407	善於	2858
408	遼寧	2853
409	國人	2851
410	只需	2848
411	上市	2847
412	互	2847
413	今世	2847
414	傾得	2847
415	區區	2847
416	十一點	2847
417	取	2847
418	可疑	2847
419	啞仔	2847
420	嚟緊	2847
421	四眼	2847
422	地底	2847
423	夕陽	2847
424	多麼	2847
425	大型	2847
426	大波	2847
427	奏	2847
428	好天	2847
429	妒忌	2847
430	婷	2847
431	媾	2847
432	孤單	2847
433	導遊	2847
434	小提琴	2847
435	廊	2847
436	廢青	2847
437	往後	2847
438	心愛	2847
439	急促	2847
440	有利	2847
441	未試	2847
442	濃烈	2847
443	煙通	2847
444	爛仔	2847
445	爛口	2847
446	玩嘢	2847
447	男聲	2847
448	異口同聲	2847
449	相隔	2847
450	組爸	2847
451	習	2847
452	翻工	2847
453	肚腩	2847
454	自拍	2847
455	至今	2847
456	落雨	2847
457	質	2847
458	起頭	2847
459	身世	2847
460	道士	2847
461	陶醉	2847
462	面對面	2847
463	頭緒	2847
464	食花生	2847
465	骷	2847
466	麻雀	2847
467	妝	2846
468	要不然	2842
469	兩岸	2840
470	定製	2823
471	其他地方	2816
472	像素	2801
473	這時候	2800
474	董事會	2799
475	本本	2797
476	瀋陽	2797
477	改天	2795
478	繳納	2792
479	珠海	2790
480	絕大多數	2787
481	下半年	2773
482	景區	2772
483	金山	2769
484	字符	2768
485	性價比	2766
486	充值	2764
487	不下	2758
488	不由自主	2758
489	五官	2758
490	個案	2758
491	公屋	2758
492	凹	2758
493	出院	2758
494	剷	2758
495	即管	2758
496	各樣	2758
497	單人	2758
498	嘍	2758
499	大雨	2758
500	夾硬	2758
501	嬋	2758
502	宜	2758
503	巴閉	2758
504	後腦	2758
505	得戚	2758
506	心寒	2758
507	恰	2758
508	慌	2758
509	懦弱	2758
510	手足	2758
511	打車	2758
512	搶先	2758
513	教員	2758
514	框	2758
515	氣力	2758
516	法力	2758
517	海邊	2758
518	湯圓	2758
519	焗爐	2758
520	照計	2758
521	熟睡	2758
522	獨特	2758
523	現時	2758
524	生得	2758
525	留班	2758
526	白紙	2758
527	盡情	2758
528	睡房	2758
529	睥	2758
530	祭	2758
531	綜合	2758
532	美味	2758
533	背負	2758
534	臺	2758
535	舊年	2758
536	見工	2758
537	訊	2758
538	豬頭	2758
539	賜	2758
540	趁機	2758
541	身子	2758
542	連埋	2758
543	遊	2758
544	選修	2758
545	醒起	2758
546	雙唇	2758
547	難以置信	2758
548	飛刀	2758
549	飲茶	2758
550	館	2758
551	高瘦	2758
552	默	2758
553	點先	2758
554	長春	2753
555	誰知道	2720
556	來回	2714
557	制約	2710
558	評審	2710
559	右鍵	2699
560	改革開放	2683
561	罵人	2679
562	賈	2679
563	申購	2676
564	儂	2673
565	體檢	2670
566	不到	2669
567	不妙	2669
568	世事	2669
569	仇	2669
570	何必	2669
571	使出	2669
572	做主	2669
573	偷笑	2669
574	先好	2669
575	兩手	2669
576	公廁	2669
577	凶	2669
578	前途	2669
579	動人	2669
580	包容	2669
581	匿	2669
582	十仔	2669
583	友人	2669
584	右手邊	2669
585	單單	2669
586	嚟過	2669
587	國內	2669
588	太快	2669
589	孫	2669
590	寫低	2669
591	尋	2669
592	屬	2669
593	帶有	2669
594	幾錢	2669
595	心動	2669
596	忌	2669
597	打贏	2669
598	招式	2669
599	收錢	2669
600	放到	2669
601	本地	2669
602	校工	2669
603	楚	2669
604	樣樣	2669
605	死黨	2669
606	比卡超	2669
607	浮	2669
608	無敵	2669
609	照舊	2669
610	瓜	2669
611	生理	2669
612	私家	2669
613	糊	2669
614	緊身	2669
615	緩慢	2669
616	翻嚟	2669
617	街燈	2669
618	袍	2669
619	註	2669
620	趕時間	2669
621	鐵塔	2669
622	面試	2669
623	飲杯	2669
624	駁	2669
625	齋	2669
626	城區	2663
627	凡是	2660
628	志願者	2649
629	輛	2649
630	國家隊	2645
631	便於	2643
632	布什	2643
633	應聘	2643
634	上報	2633
635	捨不得	2625
636	僞	2624
637	控股	2622
638	抽菸	2621
639	光驅	2615
640	下線	2605
641	查處	2603
642	版權所有	2599
643	公交車	2596
644	整治	2592
645	民工	2591
646	怎麼回事	2589
647	甲方	2589
648	羅馬	2587
649	自治區	2587
650	獲悉	2585
651	出貨	2582
652	中環	2580
653	亞視	2580
654	仙	2580
655	係路	2580
656	先行	2580
657	入夜	2580
658	北行	2580
659	卜	2580
660	右手面	2580
661	向前	2580
662	喱士	2580
663	嘅時	2580
664	噓	2580
665	嚓	2580
666	境界	2580
667	小腿	2580
668	少有	2580
669	尷	2580
670	展	2580
671	山頭	2580
672	師妹	2580
673	底衫	2580
674	念	2580
675	惡鬼	2580
676	手尾	2580
677	打工	2580
678	打邊爐	2580
679	技	2580
680	抆	2580
681	擦字膠	2580
682	橫掂	2580
683	水汪汪	2580
684	況且	2580
685	減	2580
686	漱口	2580
687	濟	2580
688	獄警	2580
689	白頭	2580
690	眉頭	2580
691	睇小	2580
692	純真	2580
693	紙皮	2580
694	細膽	2580
695	縱使	2580
696	肉色	2580
697	臻	2580
698	薛	2580
699	藥膏	2580
700	蛀	2580
701	蟻	2580
702	許	2580
703	詭異	2580
704	話口未完	2580
705	認定	2580
706	豉油	2580
707	跟手	2580
708	踏入	2580
709	身手	2580
710	軟弱	2580
711	邨	2580
712	開房	2580
713	隊伍	2580
714	順眼	2580
715	驚呼	2580
716	髏	2580
717	祕	2579
718	災區	2572
719	中山	2568
720	南昌	2568
721	處在	2561
722	黃河	2555
723	只需要	2552
724	怪不得	2548
725	領取	2548
726	企業家	2525
727	交換機	2524
728	演唱	2518
729	老鄉	2517
730	總監	2514
731	太平洋	2512
732	勞動力	2500
733	加息	2494
734	打折	2494
735	化工	2493
736	一旁	2491
737	上台	2491
738	上心	2491
739	不但	2491
740	不約而同	2491
741	不行	2491
742	中秋節	2491
743	事先	2491
744	你仲記	2491
745	依邊	2491
746	修	2491
747	偷襲	2491
748	儀	2491
749	兼容	2491
750	冒	2491
751	厹	2491
752	古	2491
753	司	2491
754	哀傷	2491
755	哲學	2491
756	問號	2491
757	嗶	2491
758	嘖	2491
759	學人	2491
760	對眼	2491
761	帳	2491
762	後人	2491
763	心虛	2491
764	恐龍	2491
765	愛心	2491
766	援交	2491
767	武術	2491
768	死八婆	2491
769	比喻	2491
770	民主	2491
771	洩	2491
772	漂亮	2491
773	煮飯仔	2491
774	牙仔	2491
775	當成	2491
776	發惡	2491
777	皆	2491
778	眼球	2491
779	砵	2491
780	神偷	2491
781	私隱	2491
782	種種	2491
783	竟	2491
784	竹	2491
785	筋	2491
786	粗糙	2491
787	紛紛	2491
788	細小	2491
789	肉麻	2491
790	胃口	2491
791	蒸	2491
792	行政	2491
793	見牙唔見眼	2491
794	言語	2491
795	識到	2491
796	貪玩	2491
797	趕到	2491
798	這次	2491
799	間尺	2491
800	隨意	2491
801	難免	2491
802	題	2491
803	黃金	2491
804	黑衣	2491
805	深化	2477
806	法律責任	2476
807	藍牙	2457
808	備註	2456
809	死機	2456
810	中華民族	2451
811	騙人	2448
812	教育部	2444
813	沒意思	2443
814	旗下	2438
815	安全性	2436
816	詞彙	2430
817	複合	2421
818	態勢	2420
819	使人	2417
820	境外	2414
821	年內	2407
822	辦事處	2405
823	評委	2404
824	一號	2402
825	一部份	2402
826	不愧	2402
827	亮	2402
828	佛	2402
829	使乜	2402
830	倫	2402
831	偶爾	2402
832	僵硬	2402
833	全家	2402
834	具體	2402
835	前度	2402
836	創意	2402
837	口面	2402
838	哪裡	2402
839	啱先	2402
840	嗬	2402
841	圍觀	2402
842	埋口	2402
843	少爺	2402
844	尻	2402
845	幾經	2402
846	廢柴	2402
847	必	2402
848	感性	2402
849	截	2402
850	打爛	2402
851	拉麵	2402
852	拼命	2402
853	接線生	2402
854	操	2402
855	敏捷	2402
856	整體	2402
857	旅	2402
858	是非	2402
859	有力	2402
860	朝朝	2402
861	本事	2402
862	極力	2402
863	滿佈	2402
864	漁村	2402
865	無形	2402
866	爆缸	2402
867	睇中	2402
868	睇好	2402
869	童話	2402
870	糧	2402
871	緒	2402
872	繫	2402
873	衷心	2402
874	講法	2402
875	賤格	2402
876	起眼	2402
877	身型	2402
878	進一步	2402
879	邊行	2402
880	銅鑼灣	2402
881	養父	2402
882	驚人	2402
883	國企	2391
884	好不容易	2388
885	俾	2386
886	必將	2385
887	精美	2383
888	越獄	2380
889	音頻	2367
890	來得及	2364
891	現行	2352
892	關鍵字	2350
893	斌	2348
894	黨委	2347
895	啓用	2346
896	國際化	2345
897	大幅度	2342
898	城鄉	2339
899	請勿	2338
900	內蒙古	2337
901	牛市	2336
902	養殖	2336
903	仍在	2334
904	南寧	2333
905	高科技	2329
906	分紅	2326
907	再一次	2323
908	一頭霧水	2313
909	下定	2313
910	下屬	2313
911	丟	2313
912	亂講	2313
913	俠	2313
914	元氣	2313
915	兄妹	2313
916	出外	2313
917	出頭	2313
918	則	2313
919	務	2313
920	地拖	2313
921	奕	2313
922	嬲爆爆	2313
923	寒意	2313
924	審	2313
925	左手邊	2313
926	左手面	2313
927	廂	2313
928	往事	2313
929	愕	2313
930	憑空	2313
931	提早	2313
932	敬請	2313
933	新手	2313
934	日前	2313
935	普遍	2313
936	業	2313
937	欸	2313
938	決賽	2313
939	流露	2313
940	滿面	2313
941	澧	2313
942	牛仔	2313
943	珊	2313
944	相簿	2313
945	眷屬	2313
946	知名	2313
947	繼而	2313
948	罷	2313
949	羽毛球	2313
950	胡	2313
951	臉色	2313
952	自修	2313
953	花心	2313
954	茫	2313
955	蓮	2313
956	行上	2313
957	街坊	2313
958	表露	2313
959	補助	2313
960	跡象	2313
961	躝	2313
962	車尾	2313
963	追殺	2313
964	通關	2313
965	過身	2313
966	遙控	2313
967	阿毛	2313
968	陰森	2313
969	雖則	2313
970	離譜	2313
971	霞	2313
972	風筒	2313
973	鬥氣	2313
974	黑夜	2313
975	龍友	2313
976	保修	2311
977	功率	2311
978	太原	2310
979	既有	2308
980	彩票	2303
981	蝦米	2298
982	團購	2282
983	成交量	2277
984	縣城	2276
985	有多	2274
986	滬	2274
987	小於	2273
988	單擊	2268
989	就此	2266
990	若是	2264
991	吉林	2263
992	市委	2263
993	管理層	2253
994	蘭州	2253
995	尹	2245
996	截至	2243
997	程序員	2239
998	廖	2238
999	利好	2237
1000	鑫	2232
1001	東部	2231
1002	光榮	2230
1003	第一時間	2226
1004	老人家	2226
1005	併購	2225
1006	一級	2224
1007	一頭	2224
1008	上樓	2224
1009	上路	2224
1010	並用	2224
1011	乾杯	2224
1012	人頭	2224
1013	佛羅倫斯	2224
1014	免得	2224
1015	具	2224
1016	出動	2224
1017	呢場	2224
1018	喜	2224
1019	在生	2224
1020	埋身	2224
1021	報到	2224
1022	大方	2224
1023	大致上	2224
1024	姆	2224
1025	存	2224
1026	完場	2224
1027	完畢	2224
1028	家務	2224
1029	專用	2224
1030	居	2224
1031	店長	2224
1032	性愛	2224
1033	懷中	2224
1034	打死	2224
1035	打氣	2224
1036	收尾	2224
1037	有名	2224
1038	有餘	2224
1039	校務處	2224
1040	樑	2224
1041	正一	2224
1042	步入	2224
1043	武林	2224
1044	演唱會	2224
1045	潛	2224
1046	灰心	2224
1047	照樣	2224
1048	狗衝	2224
1049	現身	2224
1050	睇唔起	2224
1051	睇實	2224
1052	睇死	2224
1053	禍	2224
1054	粟米	2224
1055	老人	2224
1056	聽歌	2224
1057	背包	2224
1058	若無其事	2224
1059	落手	2224
1060	薑	2224
1061	虧	2224
1062	蝕底	2224
1063	街口	2224
1064	街頭	2224
1065	襟	2224
1066	親口	2224
1067	請柬	2224
1068	谷	2224
1069	豐滿	2224
1070	貪心	2224
1071	走佬	2224
1072	辭	2224
1073	迷人	2224
1074	追擊	2224
1075	速	2224
1076	逢	2224
1077	進出	2224
1078	那樣	2224
1079	郎	2224
1080	鎮定	2224
1081	陽	2224
1082	隨口	2224
1083	難關	2224
1084	雯	2224
1085	霸王	2224
1086	預先	2224
1087	食女	2224
1088	麻痺	2224
1089	村裏	2220
1090	殺毒軟件	2220
1091	佛山	2219
1092	改動	2217
1093	不已	2216
1094	妞	2212
1095	平米	2203
1096	女主角	2199
1097	配方	2197
1098	鑑於	2196
1099	玩遊戲	2194
1100	舉措	2192
1101	全局	2190
1102	葛	2190
1103	人文	2189
1104	訂購	2178
1105	多年來	2172
1106	聯繫方式	2172
1107	陌生人	2170
1108	洛陽	2168
1109	從不	2163
1110	股指	2160
1111	臺北	2154
1112	知名度	2151
1113	石家莊	2151
1114	額度	2151
1115	源於	2149
1116	馬來西亞	2145
1117	城裏	2141
1118	麻將	2137
1119	一味	2135
1120	上個	2135
1121	上邊	2135
1122	不單	2135
1123	不容	2135
1124	不經意	2135
1125	九成	2135
1126	二手	2135
1127	人流	2135
1128	人道	2135
