rank_u	literal	freq
382	有種	20644
383	嚟講	20467
384	有點	20467
385	池	20467
386	鼻	20467
387	溫書	20466
388	我也	20384
389	書書	20378
390	輸	20378
391	好聽	20289
392	戲	20289
393	讚	20289
394	祕密	20279
395	易	20200
396	杞	20200
397	音	20200
398	至少	20111
399	也不	20076
400	也有	20058
401	無聊	20022
402	𥄫	20000
403	嚇到	19933
404	服務器	19845
405	裡面	19844
406	天凡	19755
407	岩	19755
408	慘	19755
409	點呀	19755
410	星儀	19666
411	毫無	19577
412	一份	19488
413	媽	19488
414	都有	19453
415	揭	19399
416	無錯	19399
417	伸手	19310
418	自從	19310
419	單	19221
420	寶萱	19221
421	講緊	19221
422	幾乎	19043
423	林	19043
424	紙巾	19043
425	落嚟	19043
426	重新	19043
427	他們	18954
428	唔多	18954
429	我心	18954
430	真心	18954
431	馬騮	18954
432	一臉	18776
433	大大	18776
434	肚	18776
435	是個	18725
436	嗰陣	18687
437	小柔	18687
438	輕	18598
439	畀人	18509
440	當初	18509
441	上的	18464
442	要是	18453
443	先會	18420
444	總係	18420
445	鬆	18420
446	各位	18331
447	當日	18331
448	文	18242
449	辮	18242
450	哈哈哈	18153
451	較	18153
452	博客	18096
453	泳池	18064
454	秦	18064
455	仲未	17975
456	姊妹	17975
457	詩詩	17975
458	阿叔	17975
459	化	17886
460	善	17886
461	暫時	17886
462	炒	17886
463	嘉浩	17797
464	幹嘛	17741
465	嘿	17708
466	我先	17708
467	止	17708
468	社工	17708
469	可憐	17619
470	呼	17619
471	撲	17619
472	簡直	17619
473	號	17619
474	聖誕	17530
475	若果	17530
476	裡	17530
477	視頻	17528
478	一位	17352
479	大門	17352
480	心裏	17286
481	令人	17263
482	出手	17263
483	格	17263
484	甘	17263
485	嗰時	17174
486	斬	17174
487	那是	17101
488	影相	16996
489	抄	16996
490	版	16996
491	誤會	16996
492	第一次	16941
493	傑	16907
494	嬸	16907
495	整個	16907
496	步	16818
497	清	16818
498	巨龍	16640
499	當中	16640
500	靜靜	16640
501	如此	16462
502	日日	16462
503	細聲	16462
504	擡頭	16388
505	握	16373
506	救命	16373
507	煩	16373
508	示意	16373
509	剛才	16284
510	海	16284
511	老實	16284
512	肯	16284
513	這樣	16284
514	銀茹	16284
515	隨時	16284
516	魔王	16284
517	怎麼樣	16225
518	心口	16195
519	我估	16195
520	舖	16195
521	噢	16106
522	聽講	16106
523	阿銘	16106
524	上前	16017
525	劉	16017
526	好人	16017
527	好心	16017
528	漸漸	16017
529	開門	16017
530	因	15928
531	想點	15928
532	散	15928
533	金零	15928
534	我就	15896
535	耳	15839
536	新的	15838
537	中文	15750
538	冷氣	15750
539	只見	15750
540	當年	15750
541	腳步	15750
542	行埋	15750
543	埋嚟	15661
544	生果	15661
545	而已	15633
546	好在	15572
547	形容	15572
548	美	15572
549	讓人	15530
550	公	15483
551	幾耐	15483
552	麥當奴	15483
553	兒	15394
554	同個	15394
555	每個	15394
556	毛	15394
557	陌生	15394
558	是啊	15392
559	只會	15305
560	看了	15301
561	一面	15216
562	戀	15216
563	死人	15216
564	衰人	15216
565	量	15216
566	關於	15216
567	平	15127
568	提子	15127
569	知點	15127
570	傻仔	15038
571	唔肯	15038
572	唔舒服	15038
573	好靚	15038
574	條友	15038
575	來了	15028
576	入到	14949
577	微	14949
578	銀包	14949
579	凡	14860
580	招	14860
581	科技	14860
582	認	14860
583	貴	14860
584	身材	14860
585	嗄	14771
586	好痛	14771
587	正式	14771
588	港人	14771
589	牙膏	14771
590	肥龍	14771
591	平臺	14708
592	不會	14682
593	小依	14682
594	兩條	14593
595	友	14593
596	我忍	14593
597	森宿	14593
598	釣	14593
599	帖子	14576
600	白癡	14531
601	上身	14504
602	樂	14504
603	綠	14504
604	邊有	14504
605	那就	14465
606	我想	14415
607	橙汁	14415
608	碌	14415
609	腿	14415
610	順便	14415
611	回頭	14326
612	形	14326
613	捐	14326
614	擘	14326
615	講呢	14326
616	變到	14326
617	她的	14303
618	不可	14237
619	之際	14237
620	好快	14237
621	好笑	14237
622	婆	14237
623	拖鞋	14237
624	班主任	14237
625	而是	14231
626	一見	14148
627	例如	14148
628	兩日	14148
629	動	14148
630	右面	14148
631	將我	14148
632	界	14148
633	畢竟	14148
634	葡萄	14148
635	雪櫃	14148
636	神祕	14129
637	就快	13970
638	座	13970
639	瘦	13970
640	第二日	13970
641	養	13970
642	擡	13963
643	多嘢	13881
644	擋	13881
645	擰轉	13881
646	總	13881
647	你是	13873
648	何況	13792
649	狂	13792
650	一晚	13703
651	將會	13703
652	氹	13703
653	阿詩	13703
654	韻	13703
655	認得	13615
656	雀仔	13615
657	觀衆	13551
658	夠膽	13526
659	宅	13526
660	請問	13437
661	代碼	13418
662	去了	13368
663	丸	13348
664	好難	13348
665	後便	13348
666	正正	13348
667	溫暖	13347
668	兔仔	13259
669	情	13259
670	柒	13259
671	矮	13259
672	講啦	13259
673	鋪	13259
674	劈	13170
675	匙羹	13170
676	十年	13170
677	嚟㗎	13170
678	捱	13170
679	朝早	13170
680	相處	13170
681	自覺	13170
682	莎莎	13170
683	道理	13170
684	遲到	13170
685	食嘢	13170
686	您的	13130
687	上網	13081
688	劫	13081
689	咗落	13081
690	啵	13081
691	揮手	13081
692	枉	13081
693	樹林	13081
694	白石鎮	13081
695	補習	13081
696	餅	13081
697	尤其	12992
698	掣	12992
699	曱	12992
700	款	12992
701	甴	12992
702	諗法	12992
703	講返	12992
704	爲止	12971
705	不乖	12970
706	你點	12903
707	兩位	12903
708	外國	12903
709	敏感	12903
710	身爲	12820
711	合	12814
712	就要	12780
713	大脾	12725
714	差啲	12725
715	次次	12725
716	求其	12725
717	物	12725
718	睇落	12725
719	域名	12679
720	吱	12636
721	幾年	12636
722	弊	12636
723	我入	12636
724	此時	12636
725	車站	12636
726	好大	12547
727	超人	12547
728	返個	12547
729	爲主	12488
730	吔	12458
731	咗嚟	12458
732	四個	12458
733	故仔	12458
734	溝通	12458
735	個陣	12369
736	嘿嘿	12369
737	地說	12369
738	幾咁	12369
739	瘋	12369
740	科	12369
741	趁	12369
742	阿龍	12369
743	隨便	12369
744	難得	12369
745	的事	12366
746	勉強	12280
747	客氣	12280
748	是在	12229
749	寶	12191
750	有心	12191
751	林布	12191
752	結界	12191
753	身影	12191
754	過我	12191
755	也就	12183
756	放在	12170
757	頁面	12145
758	馬甲	12104
759	一班	12102
760	不要	12102
761	嘅話	12102
762	女孩	12102
763	牙刷	12102
764	我在	12048
765	讓你	12042
766	要不	12039
767	都在	12031
768	做人	12013
769	咭	12013
770	思哥	12013
771	上便	11924
772	之一	11924
773	回復	11924
