rank	head	essay_frequency	batch_index
323	約	64159	1
324	之間	64070	1
325	到底	63981	1
326	非常	63892	1
327	攬	63803	1
328	先生	63714	1
329	今晚	63536	1
330	位	63358	1
331	傻	63002	1
332	吧	63002	1
333	生活	62646	1
334	吹	61845	1
335	粒	61845	1
336	着	61756	1
337	後面	61667	1
338	香港	61578	1
339	點頭	61401	1
340	妖	61223	1
341	沒有	61223	1
342	波	61223	1
343	傾	60867	1
344	老師	60511	1
345	頂	60511	1
346	醫生	60422	1
347	香	60422	1
348	生日	60333	1
349	錫	60155	1
350	呃	59977	1
351	陳	59977	1
352	呆	59888	1
353	不停	59710	1
354	雞	59621	1
355	明明	59532	1
356	分鐘	59443	1
357	認爲	59402	1
358	梳	59354	1
359	仍然	59265	1
360	當時	59265	1
361	變成	59087	1
362	只是	58959	1
363	煮	58909	1
364	回應	58820	1
365	只要	58464	1
366	哈	58019	1
367	眼前	58019	1
368	得意	57930	1
369	飯	57663	1
370	便	57307	1
371	連	57307	1
372	凍	57218	1
373	袋	57218	1
374	拜拜	57129	1
375	廁所	57040	1
376	手指	56862	1
377	添	56773	1
378	直接	56684	1
379	六	56595	1
380	女朋友	56328	1
381	同一	56239	1
382	機會	56150	1
383	哥	56061	1
384	爲什麼	55937	1
385	哈哈	55705	1
386	路	55705	1
387	重要	55705	1
388	哇	55438	1
389	肯定	54904	1
390	啖	54815	1
391	刷	54460	1
392	怪	54460	1
393	敢	54460	1
394	然	54371	1
395	小心	54282	1
396	很	54193	1
397	咯	54015	1
398	勤	53926	1
399	杯	53837	1
400	彈	53481	1
401	本身	53481	1
402	公園	53303	1
403	刀	53303	1
404	家	53125	1
405	忍	53036	1
406	怪物	52591	1
407	大概	52502	1
408	辛苦	52502	1
409	味	52324	1
410	九	52235	1
411	歌	52235	1
412	前面	52146	1
413	線	52146	1
414	位置	52057	1
415	部	52057	1
416	比較	51879	1
417	周圍	51612	1
418	擠	51523	1
419	屋	51434	1
420	再次	51345	1
421	公司	51256	1
422	立即	51256	1
423	眼神	51167	1
424	舒服	51167	1
425	翻	51078	1
426	訓	50989	1
427	白色	50722	1
428	擰	50633	1
429	乾淨	50277	1
430	能力	50188	1
431	以後	50010	1
432	閂	50010	1
433	飛機	50010	1
434	褲	49921	1
435	方法	49832	1
436	加上	49565	1
437	第二	49565	1
438	阿媽	49476	1
439	阿妹	49387	1
440	故事	49298	1
441	爲了	49292	1
442	爬	49031	1
443	穿	49031	1
444	對方	48942	1
445	本來	48942	1
446	者	48942	1
447	份	48853	1
448	我們	48764	1
449	嗚	48497	1
450	馬	48408	1
451	扮	48319	1
452	一切	48141	1
453	得到	48141	1
454	難	47963	1
455	至	47697	1
456	試	47697	1
457	好奇	47430	1
458	指	47341	1
459	之外	47252	1
460	執	47252	1
461	表情	47252	1
462	樹	47163	1
463	勁	47074	1
464	級	46985	1
465	結果	46807	1
466	亂	46718	1
467	等等	46718	1
468	掉	46629	1
469	唯有	46273	1
470	婆婆	46273	1
471	恐怖	46184	1
472	奶奶	45828	1
473	紅色	45828	1
474	電視	45828	1
475	果然	45205	1
476	踢	45116	1
477	意思	45027	1
478	哩	44938	1
479	山	44938	1
480	臭	44938	1
481	反而	44849	1
482	中學	44493	1
483	其中	44404	1
484	俊	44048	1
485	方向	43959	1
486	燈	43959	1
487	一早	43870	1
488	從來	43781	1
489	似乎	43158	1
490	看	43158	1
491	卻	42980	1
492	是不是	42945	1
493	大叫	42624	1
494	始終	42446	1
495	踩	42179	1
496	大聲	42090	1
497	遊戲	42090	1
498	火車	42001	1
499	曾經	41823	1
500	種	41823	1
501	裏面	41761	2
502	樓梯	41734	2
503	站	41734	2
504	牙	41645	2
505	永遠	41467	2
506	蚊	41378	2
507	啥	41314	2
508	出面	41289	2
509	解釋	41200	2
510	包	41111	2
511	扯	41022	2
512	甚至	41022	2
513	放學	40845	2
514	屙	40667	2
515	機	40667	2
516	直到	40578	2
517	雪糕	40489	2
518	曬	40400	2
519	秒	40400	2
520	興奮	40400	2
521	鬧	40400	2
522	選擇	40311	2
523	保護	40222	2
524	肉	40222	2
525	手機	40044	2
526	蘋果	39866	2
527	手上	39777	2
528	發出	39777	2
529	個個	39599	2
530	無論	39599	2
531	行爲	39505	2
532	血	39332	2
533	警察	39332	2
534	搽	39243	2
535	筆	39243	2
536	原因	39154	2
537	堂	39154	2
538	呵	38976	2
539	那	38976	2
540	哪裏	38748	2
541	叫做	38709	2
542	玩具	38709	2
543	魚	38709	2
544	拿	38620	2
545	奇怪	38531	2
546	距離	38531	2
547	真的	38505	2
548	改變	38442	2
549	眼淚	38442	2
550	叔叔	38353	2
551	師父	38353	2
552	瑜	38264	2
553	嘴	38175	2
554	掂	38086	2
555	神	38086	2
556	佬	37908	2
557	掛	37908	2
558	流	37908	2
559	留	37819	2
560	差	37641	2
561	自殺	37641	2
562	擒	37552	2
563	甩	37552	2
564	能夠	37552	2
565	八	37463	2
566	熄	37463	2
567	開口	37196	2
568	自然	37107	2
569	尷尬	36840	2
570	半	36751	2
571	總之	36751	2
572	之中	36662	2
573	臉	36662	2
574	並	36395	2
575	譬如	36395	2
576	既然	36306	2
577	處	36306	2
578	即使	36217	2
579	實在	36128	2
580	幫手	36128	2
581	與	36128	2
582	紙	36039	2
583	感	35683	2
584	夜晚	35594	2
585	班長	35505	2
586	糖	35505	2
587	雲	35505	2
588	毒	35416	2
589	盒	35416	2
590	奶	35327	2
591	性	35327	2
592	抽	35327	2
593	穿過	35327	2
594	裙	35327	2
595	政	35149	2
596	好玩	34971	2
597	攻擊	34971	2
598	旅行	34882	2
599	屎	34793	2
600	心情	34615	2
601	由於	34615	2
602	遮	34615	2
603	消失	34526	2
604	賢	34437	2
605	左右	34348	2
606	皓	34259	2
607	口水	34170	2
608	雨	34170	2
609	病	34082	2
610	那裏	34029	2
611	工作	33993	2
612	意	33993	2
613	的士	33993	2
614	第	33993	2
615	旁邊	33904	2
616	啞	33726	2
617	存在	33726	2
618	左邊	33726	2
619	電腦	33726	2
620	七	33637	2
621	分別	33637	2
622	面對	33637	2
623	絕對	33548	2
624	日子	33459	2
625	聯繫	33397	2
626	回憶	33370	2
627	垃圾	33370	2
628	室	33370	2
629	理由	33370	2
630	小姐	33192	2
631	留意	33103	2
632	人類	33014	2
633	讓	33014	2
634	盡	32925	2
635	一手	32836	2
636	咀	32836	2
637	蛋糕	32836	2
638	到時	32747	2
639	太陽	32747	2
640	底	32747	2
641	角	32747	2
642	早餐	32658	2
643	現實	32658	2
644	用力	32658	2
645	像	32569	2
646	最好	32569	2
647	緊要	32480	2
648	馬上	32480	2
649	努力	32391	2
650	十分	32391	2
651	動作	32302	2
652	樓	32302	2
653	返工	32302	2
654	星期	32213	2
655	興趣	32213	2
656	介紹	32124	2
657	麻煩	32124	2
658	的確	32035	2
659	感情	31946	2
660	眼鏡	31857	2
661	喫飯	31690	2
662	愈	31679	2
663	少女	31590	2
664	真正	31590	2
665	魔法	31590	2
666	休息	31501	2
667	可惜	31412	2
668	使	31323	2
669	依然	31323	2
670	的話	31268	2
671	忽然	31234	2
672	段	31234	2
673	照顧	31234	2
674	花	31234	2
675	詩	31234	2
