rank	head	essay_frequency	syn_tails	syn_neighbors
211	隨住	10233	1	跟着
212	入嚟	10144	1	進來
213	還有	10144	3	仲有,另外,重有
214	嘢食	10055	1	食物
215	這裡	10055	1	這兒
216	好返	9966	1	好轉
217	八婆	9877	1	長舌婦
218	第日	9877	1	他日
219	返轉頭	9877	1	回頭
220	吹水	9788	1	閒聊
221	怕醜	9788	1	害羞
222	換衫	9788	1	更衣
223	洗頭水	9788	1	洗髮露
224	點做	9788	1	怎麼辦
225	大部份	9699	1	大部分
226	心裡	9699	1	心裏
227	遲啲	9610	1	稍後
228	肥仔	9432	1	胖子
229	就嚟	9343	1	快要
230	背影	9254	1	身影
231	好嘢	9165	1	好事
232	幾點	9165	1	何時
233	發夢	9165	1	做夢
234	搞笑	9076	1	好笑
235	擰頭	8987	1	搖頭
236	仔女	8898	1	兒女
237	傻妹	8898	1	傻女
238	唔捨得	8898	1	捨不得
239	朝頭早	8898	1	清晨
240	老嘢	8898	1	老人
241	衰仔	8898	1	壞蛋
242	冇所謂	8720	1	無所謂
243	大隻	8720	1	高大
244	並無	8631	1	沒有
245	千祈	8631	1	千萬
246	尋晚	8631	1	昨晚
247	直情	8631	1	簡直
248	不在	8569	1	不在場
249	交流	8542	1	溝通
250	太過	8542	1	過於
251	總有	8542	1	總會
252	是但	8453	1	隨便
253	間房	8453	1	房間
254	忘了	8373	1	忘記
255	之餘	8364	1	此外
256	沿住	8364	1	順着
257	文檔	8277	1	文件
258	以嚟	8186	1	以來
259	叫醒	8186	1	喚醒
260	師奶	8186	1	主婦
261	後尾	8097	1	後來
262	行山	8097	1	登山
263	合照	7919	1	合影
264	打橫	7830	1	橫過
265	玩完	7830	1	結束
266	阿伯	7830	1	伯父
267	盡快	7741	1	趕快
268	角色	7741	1	人物
269	越嚟越	7741	1	越來越
270	什麼時候	7699	1	何時
271	墳場	7563	1	墓地
272	行街	7474	1	逛街
273	講起	7474	1	提起
274	礦場	7385	1	礦坑
275	第時	7385	1	將來
