rank	head	essay_frequency	syn_tails
1256	名詞	1423	9
1257	吶喊	1423	15
1258	商店	1423	21
1259	嘉賓	1423	2
1260	因果	1423	3
1261	地勤	1423	5
1262	場合	1423	4
1263	填補	1423	17
1264	大自然	1423	10
1265	天文台	1423	1
1266	如同	1423	13
1267	孤兒	1423	2
1268	學位	1423	4
1269	家底	1423	9
1270	寶玉	1423	1
1271	專家	1423	7
1272	山坡	1423	1
1273	帶路	1423	11
1274	年少	1423	11
1275	幽靈	1423	6
1276	強逼	1423	14
1277	律師	1423	3
1278	心地	1423	42
1279	性情	1423	11
1280	恐嚇	1423	7
1281	悄悄	1423	39
1282	想見	1423	18
1283	意大利粉	1423	1
1284	懷孕	1423	5
1285	打圓場	1423	11
1286	把持	1423	12
1287	接吻	1423	4
1288	搖搖	1423	12
1289	擅自	1423	15
1290	操行	1423	9
1291	收服	1423	6
1292	效應	1423	18
1293	教室	1423	2
1294	日報	1423	15
1295	晚裝	1423	10
1296	會計	1423	5
1297	槍聲	1423	10
1298	標誌	1423	9
1299	標題	1423	3
1300	此處	1423	4
1301	歲數	1423	11
1302	比利時	1423	156
1303	氣喘	1423	3
1304	沉思	1423	26
1305	法例	1423	7
1306	涉及	1423	12
1307	港股	1423	4
1308	湧出	1423	8
1309	滑落	1423	8
1310	漩渦	1423	2
1311	潛入	1423	20
1312	火柴	1423	2
1313	烏雲	1423	10
1314	無意中	1423	1
1315	煙霧	1423	2
1316	熱血	1423	24
1317	燒烤	1423	17
1318	牆角	1423	1
1319	牙齒	1423	2
1320	產地	1423	19
1321	留底	1423	3
1322	病情	1423	1
1323	盾牌	1423	4
1324	研發	1423	1
1325	科目	1423	4
1326	突擊	1423	4
1327	箭步	1423	3
1328	綁匪	1423	5
1329	罪孽	1423	12
1330	義氣	1423	40
1331	耀眼	1423	9
1332	聯想	1423	6
1333	舉例	1423	4
1334	舞台	1423	1
1335	葬禮	1423	7
1336	血色	1423	2
1337	褲子	1423	3
1338	設施	1423	5
1339	該死	1423	13
1340	課本	1423	5
1341	警署	1423	7
1342	費用	1423	10
1343	越過	1423	5
1344	身分	1423	10
1345	車上	1423	1
1346	軍人	1423	4
1347	辭典	1423	5
1348	農場	1423	34
1349	逝去	1423	2
1350	過關	1423	7
1351	適中	1423	43
1352	鄰居	1423	8
1353	鍵盤	1423	6
1354	鐘樓	1423	2
1355	長度	1423	3
1356	門牙	1423	2
1357	閃光燈	1423	41
1358	開花	1423	8
1359	開關	1423	3
1360	關懷	1423	8
1361	防備	1423	15
1362	防火牆	1423	2
1363	院長	1423	14
1364	電池	1423	2
1365	風雷	1423	3
1366	餘下	1423	6
1367	傳染病	1421	118
1368	提速	1420	3
1369	典範	1418	14
1370	手寫	1418	1
1371	貨源	1418	20
1372	國際貿易	1417	3
1373	收視率	1417	35
1374	飛行員	1417	1
1375	微生物	1416	2
1376	親友	1416	2
1377	事蹟	1415	3
1378	婷婷	1413	30
1379	亞太	1411	14
1380	圖文	1411	2
1381	電子版	1411	8
1382	總線	1407	22
1383	工業區	1406	46
1384	總價	1406	55
1385	自來水	1406	28
1386	二手車	1405	53
1387	恨不得	1405	17
1388	緬甸	1405	156
1389	過日子	1405	9
1390	遙控器	1405	82
1391	塗抹	1404	11
1392	底盤	1404	9
1393	流淌	1404	5
1394	供需	1401	1
1395	午後	1401	3
1396	劑量	1400	42
1397	化肥	1400	1
1398	元寶	1399	14
1399	大選	1398	9
1400	參與者	1397	1
1401	漂流	1397	23
1402	用量	1394	1
1403	用人	1393	1
1404	教主	1392	5
1405	普查	1392	2
1406	頭銜	1392	3
1407	外商	1391	16
1408	奧林匹克	1390	2
1409	方向盤	1390	1
1410	葡萄牙	1390	156
1411	金子	1390	2
1412	下月	1388	3
1413	豆瓣	1388	4
1414	學生會	1386	22
1415	影迷	1386	9
1416	展覽會	1384	42
1417	血清	1384	8
1418	強有力	1383	23
1419	廳長	1382	19
1420	本部	1381	8
1421	高新技術	1381	1
1422	規章	1380	6
1423	戰鬥機	1379	2
1424	世錦賽	1378	3
1425	原著	1378	4
1426	測算	1377	34
1427	當即	1377	25
1428	華語	1377	4
1429	烏克蘭	1376	156
1430	華僑	1376	4
1431	冰淇淋	1375	1
1432	書畫	1375	4
1433	前不久	1374	10
1434	單片機	1374	1
1435	曲目	1374	2
1436	烹飪	1374	2
1437	全天	1373	1
1438	奶媽	1373	2
1439	成功率	1373	35
1440	海拔	1372	1
1441	定金	1371	9
1442	磁帶	1371	10
1443	抽空	1370	3
1444	押金	1369	6
1445	體育場	1368	2
1446	戰機	1367	4
1447	嚮導	1366	11
1448	民航	1364	6
1449	用工	1364	1
1450	盜竊	1363	13
1451	紡織品	1363	10
1452	下山	1362	2
1453	外交部	1362	14
1454	年限	1362	6
1455	戰鬥力	1362	2
1456	文集	1362	10
1457	標明	1362	6
1458	連續劇	1362	32
1459	吹牛	1361	7
1460	礦業	1361	49
1461	音樂會	1361	1
1462	邊框	1360	1
1463	代言人	1359	2
1464	向着	1358	5
1465	儒家	1357	2
1466	評判	1356	9
1467	上月	1355	1
1468	違章	1355	1
1469	門窗	1355	1
1470	五金	1354	3
1471	綠地	1354	3
1472	乃是	1353	8
1473	名家	1353	12
1474	時而	1353	33
1475	礦山	1352	8
1476	機理	1351	7
1477	減免	1351	1
1478	作案	1350	11
1479	國度	1350	5
1480	裝配	1350	1
1481	擴容	1349	2
1482	海內外	1349	19
1483	老闆娘	1348	4
1484	衚衕	1348	3
1485	警示	1348	4
1486	製藥	1347	3
1487	責任心	1347	6
1488	預示	1347	4
1489	演練	1345	5
1490	剖析	1344	8
1491	執業	1343	3
1492	抽查	1343	7
1493	晚報	1343	15
1494	清代	1343	33
1495	高額	1343	15
1496	院子	1341	3
1497	問世	1340	1
1498	櫃子	1340	5
1499	消費品	1340	3
1500	使館	1339	2
1501	通訊錄	1339	3
1502	好奇心	1338	1
1503	定量	1338	42
1504	專業知識	1338	1
1505	醬油	1336	7
1506	風景區	1336	46
1507	收看	1335	28
1508	當着	1335	13
1509	軍方	1335	10
1510	丈夫	1334	16
1511	上當	1334	4
1512	下一步	1334	3
1513	下載	1334	1
1514	不至於	1334	4
1515	人身	1334	16
1516	企業	1334	20
1517	保釋	1334	12
1518	偷窺	1334	10
1519	傷者	1334	4
1520	入會	1334	3
1521	冤枉	1334	20
1522	分辨	1334	13
1523	北海道	1334	115
1524	卡片	1334	1
1525	原意	1334	2
1526	句號	1334	14
1527	可悲	1334	21
1528	右下方	1334	6
1529	呼喚	1334	12
1530	哽咽	1334	12
1531	嘆息	1334	7
1532	回望	1334	3
1533	地毯	1334	4
1534	堅挺	1334	13
1535	增收	1334	3
1536	大好	1334	62
1537	套衫	1334	9
1538	套裝	1334	9
1539	好手	1334	29
1540	妖氣	1334	2
1541	學費	1334	29
1542	小動作	1334	2
1543	小鳥	1334	7
1544	工程	1334	2
1545	差別	1334	10
1546	平平	1334	9
1547	年級	1334	3
1548	弟子	1334	15
1549	彎腰	1334	2
1550	思索	1334	26
1551	怪人	1334	2
1552	懂事	1334	2
1553	手緊	1334	15
1554	打劫	1334	22
1555	招惹	1334	14
1556	指引	1334	13
1557	掉轉	1334	12
1558	接手	1334	5
1559	推論	1334	18
1560	放膽	1334	1
1561	散落	1334	20
1562	斷氣	1334	47
1563	旋風	1334	1
1564	木板	1334	10
1565	木馬	1334	30
1566	松鼠	1334	1
1567	構思	1334	28
1568	款式	1334	7
1569	殺傷力	1334	22
1570	比如	1334	28
1571	永別	1334	47
1572	求情	1334	6
1573	消除	1334	42
1574	火花	1334	7
1575	照應	1334	16
1576	牽涉	1334	12
1577	王者	1334	27
1578	瑞士	1334	156
1579	登場	1334	11
1580	發抖	1334	14
1581	白衣	1334	27
1582	直角	1334	17
1583	知己	1334	40
1584	短訊	1334	1
1585	破綻	1334	17
1586	碰到	1334	13
1587	社長	1334	14
1588	等同	1334	25
1589	累積	1334	8
1590	終審	1334	10
1591	終究	1334	20
1592	絕技	1334	12
1593	絕育	1334	1
1594	線條	1334	2
1595	缺口	1334	2
1596	美人魚	1334	25
1597	美食	1334	3
1598	翌日	1334	7
1599	聊天	1334	21
1600	聖誕樹	1334	26
1601	肉眼	1334	7
