rank	head	essay_frequency	syn_tails
258	倒不如	1957	2
259	假裝	1957	9
260	傳教	1957	4
261	傳染	1957	4
262	其間	1957	12
263	到場	1957	12
264	前日	1957	2
265	取笑	1957	11
266	各個	1957	23
267	圖形	1957	6
268	地頭	1957	5
269	夢見	1957	8
270	大不了	1957	5
271	太陽穴	1957	3
272	對峙	1957	8
273	局長	1957	19
274	忍耐	1957	12
275	性命	1957	6
276	意圖	1957	8
277	意大利	1957	156
278	打拳	1957	1
279	打轉	1957	12
280	抗議	1957	2
281	拉鍊	1957	1
282	招手	1957	1
283	數據	1957	8
284	昆蟲	1957	2
285	明信片	1957	3
286	棺材	1957	6
287	椰子	1957	1
288	櫥窗	1957	8
289	武力	1957	23
290	沒法	1957	8
291	沒錯	1957	22
292	清明	1957	103
293	火光	1957	22
294	異物	1957	16
295	當做	1957	10
296	相關	1957	10
297	眼罩	1957	4
298	笑臉	1957	5
299	統治	1957	11
300	緊貼	1957	11
301	繼承	1957	21
302	自身	1957	10
303	落水	1957	14
304	行業	1957	4
305	裝飾	1957	10
306	要害	1957	48
307	起行	1957	8
308	迷茫	1957	29
309	送到	1957	1
310	進發	1957	8
311	過往	1957	17
312	過癮	1957	16
313	震撼	1957	9
314	體諒	1957	3
315	點心	1957	5
316	黯然	1957	25
317	星期天	1952	8
318	傻子	1950	7
319	敢於	1948	48
320	用藥	1947	2
321	大城市	1946	1
322	出資	1945	5
323	國際市場	1945	1
324	寬度	1941	10
325	男孩子	1940	1
326	大頭	1939	15
327	中小	1937	6
328	隱患	1933	1
329	胎兒	1931	2
330	三維	1929	1
331	做工	1927	1
332	壁紙	1926	41
333	來得	1925	10
334	序列	1925	8
335	機動車	1920	54
336	侷限	1917	2
337	鏡像	1912	1
338	期刊	1908	4
339	船舶	1908	8
340	書法	1907	25
341	核算	1907	1
342	製成	1907	1
343	關愛	1907	8
344	動畫片	1906	3
345	首批	1901	22
346	電氣	1899	15
347	傳感器	1897	82
348	混凝土	1895	1
349	看重	1892	27
350	製造商	1890	16
351	託管	1889	5
352	服務業	1884	49
353	掛牌	1882	1
354	來源於	1881	11
355	原油	1879	1
356	派出	1879	13
357	開闢	1870	4
358	並非	1868	11
359	互動	1868	8
360	人選	1868	5
361	佔據	1868	18
362	保齡球	1868	17
363	修補	1868	20
364	公元	1868	1
365	再三	1868	32
366	分成	1868	1
367	到頭來	1868	15
368	劇本	1868	3
369	力度	1868	41
370	動物園	1868	6
371	同黨	1868	2
372	周身	1868	5
373	商隊	1868	22
374	城堡	1868	3
375	場地	1868	23
376	塞車	1868	16
377	外界	1868	9
378	多年	1868	11
379	天花	1868	8
380	姐妹	1868	1
381	尋求	1868	3
382	巡邏	1868	7
383	帳篷	1868	6
384	弱智	1868	11
385	心想	1868	27
386	思念	1868	18
387	感冒	1868	5
388	憔悴	1868	2
389	手工	1868	1
390	手頭	1868	5
391	打斜	1868	6
392	打發	1868	18
393	投放	1868	5
394	抽水	1868	4
395	招數	1868	12
396	挑釁	1868	1
397	救護車	1868	53
398	教練	1868	4
399	施展	1868	3
400	明日	1868	11
401	星期二	1868	2
402	未曾	1868	17
403	未能	1868	6
404	某些	1868	7
405	極點	1868	11
406	流程	1868	1
407	流逝	1868	4
408	滲入	1868	18
409	演員	1868	6
410	煙花	1868	2
411	熊熊	1868	38
412	現今	1868	16
413	環視	1868	4
414	發狂	1868	10
415	皇后	1868	2
416	真身	1868	16
417	神通	1868	1
418	程序	1868	9
419	空中	1868	5
420	符咒	1868	2
421	結構	1868	3
422	緊接	1868	21
423	聲浪	1868	11
424	職位	1868	5
425	腰部	1868	4
426	舊時	1868	19
427	袋鼠	1868	3
428	補救	1868	3
429	裝作	1868	9
430	規定	1868	2
431	解剖	1868	13
432	診所	1868	5
433	證實	1868	13
434	車廂	1868	1
435	逃生	1868	1
436	通心粉	1868	10
437	鑽石	1868	3
438	開玩笑	1868	24
439	開眼	1868	3
440	閘口	1868	19
441	關頭	1868	9
442	陷阱	1868	6
443	雪花	1868	6
444	青山	1868	2
445	非禮	1868	6
446	飲水	1868	33
447	飲食	1868	8
448	騎兵	1868	19
449	鬆綁	1868	15
450	地質	1867	1
451	號召	1867	6
452	轉賬	1867	10
453	首屆	1867	22
454	財政部	1863	14
455	新區	1860	7
456	直銷	1860	20
457	座談會	1859	42
458	絕跡	1856	5
459	大全	1855	10
460	錘子	1855	5
461	邊界	1853	20
462	牡丹	1852	3
463	還款	1852	4
464	發佈會	1851	42
465	看病	1850	13
466	白雲	1848	2
467	動感	1847	18
468	進貨	1842	23
469	團長	1841	10
470	大都	1840	6
471	業務員	1840	16
472	現貨	1840	9
473	做生意	1831	2
474	早飯	1829	1
475	繁體	1828	17
476	基金會	1827	22
477	大酒店	1827	5
478	湊合	1827	36
479	交付	1822	9
480	代謝	1820	1
481	表述	1812	6
482	院士	1812	3
483	交互	1810	8
484	買進	1810	23
485	喝茶	1806	1
486	原版	1805	8
487	日內	1805	3
488	品位	1804	4
489	青海	1803	29
490	嫂子	1799	4
491	生產力	1799	2
492	貴陽	1799	116
493	蟲子	1795	2
494	人性化	1794	39
495	劇組	1793	16
496	廠房	1791	8
497	複印	1789	15
498	攝像機	1786	1
499	侵害	1781	29
500	承包	1780	7
501	火車票	1780	4
502	不免	1779	5
503	不大	1779	18
504	中等	1779	11
505	五顏六色	1779	17
506	人才	1779	22
507	以至	1779	4
508	伴娘	1779	1
509	作家	1779	4
510	來源	1779	13
511	修長	1779	11
512	倒轉	1779	5
513	做到	1779	24
514	傳真	1779	3
515	傷勢	1779	7
516	出演	1779	7
517	前夕	1779	3
518	助理	1779	12
519	半點	1779	29
520	口吻	1779	11
521	口音	1779	5
522	合唱	1779	7
523	吸吮	1779	10
524	咕嚕	1779	10
525	四月	1779	1
526	基本法	1779	20
527	報應	1779	3
528	契約	1779	9
529	好友	1779	13
530	學歷	1779	3
531	客場	1779	34
532	實習	1779	1
533	寶石	1779	8
534	小路	1779	4
535	工會	1779	22
536	廚師	1779	7
537	彌補	1779	4
538	心血	1779	10
539	情形	1779	16
540	戒備	1779	17
541	打掃	1779	3
542	打消	1779	42
543	拍片	1779	1
544	捕捉	1779	1
545	推倒	1779	4
546	推動	1779	11
547	新郎	1779	1
548	普選	1779	9
549	書房	1779	2
550	有病	1779	17
551	木屋	1779	7
552	末日	1779	19
553	氣體	1779	5
554	水中	1779	1
555	波浪	1779	4
556	洗頭	1779	2
557	消散	1779	38
558	無從	1779	26
559	煙海	1779	13
560	營養	1779	6
561	版本	1779	3
562	瓜子	1779	1
563	生性	1779	5
564	疲倦	1779	25
565	目送	1779	15
566	眼眶	1779	3
567	禮拜日	1779	8
568	絕不	1779	11
569	良心	1779	36
570	茶几	1779	9
571	茶樓	1779	4
572	董事	1779	1
573	裝束	1779	3
574	要不是	1779	1
575	跌倒	1779	4
576	車禍	1779	4
577	轟隆	1779	7
578	還好	1779	1
579	鐵路	1779	2
580	關節	1779	18
581	陳述	1779	5
582	雨水	1779	55
583	電視劇	1779	32
584	青衣	1779	7
585	鮮奶	1779	6
586	工作量	1778	42
587	數額	1778	8
588	航天	1778	20
589	加之	1776	13
590	共計	1775	16
591	命題	1775	4
592	園林	1775	5
593	承辦	1775	2
594	王朝	1774	4
595	蒙古	1774	29
596	駕駛員	1773	3
597	發言人	1771	2
598	農藥	1770	17
599	淨值	1763	16
600	收益率	1762	35
601	稿子	1758	18
602	紹興	1756	115
603	省委	1754	1
604	穩步	1752	32
605	幸虧	1750	10
