rank	head	essay_frequency	batch_index	direct_syn_tails
249	一眼	20467	2	0
250	嚟講	20467	2	0
251	師兄	20467	2	0
252	讚	20289	2	0
253	傾計	20111	2	0
254	屬於	20022	2	1
255	地圖	19933	2	1
256	特登	19933	2	0
257	裡面	19844	2	0
258	課室	19844	2	0
259	點呀	19755	2	0
260	碟	19666	2	1
261	講緊	19221	2	0
262	紙巾	19043	2	0
263	落嚟	19043	2	0
264	他們	18954	2	1
265	唔多	18954	2	0
266	唔錯	18954	2	0
267	馬騮	18954	2	0
268	留低	18865	2	0
269	再見	18776	2	1
270	嗰陣	18687	2	0
271	裏便	18598	2	0
272	畀人	18509	2	0
273	大嗌	18420	2	0
274	總係	18420	2	0
275	鬆	18420	2	0
276	博客	18096	2	0
277	見過	18064	2	0
278	仲未	17975	2	0
279	姊妹	17975	2	1
280	阿叔	17975	2	0
281	打電話	17886	2	1
282	搞掂	17886	2	0
283	人哋	17797	2	0
284	社工	17708	2	0
285	盡量	17530	2	0
286	裡	17530	2	0
287	視頻	17528	2	0
288	枕頭	17441	2	1
289	冇問題	17352	2	0
290	咖啡	17174	2	1
291	嗰時	17174	2	0
292	目的	17085	2	1
293	影相	16996	2	0
294	第一次	16941	2	0
295	自信	16551	2	1
296	細聲	16462	2	0
297	等陣	16373	2	0
298	失望	16284	2	1
299	舖	16195	2	0
300	桶	15839	2	0
301	蝦	15750	2	1
302	行埋	15750	2	0
303	埋嚟	15661	2	0
304	生果	15661	2	0
305	音樂	15661	2	1
306	幾耐	15483	2	0
307	聽過	15394	2	0
308	只會	15305	2	0
309	衰人	15216	2	0
310	提子	15127	2	0
311	傻仔	15038	2	0
312	唔舒服	15038	2	0
313	好靚	15038	2	0
314	條友	15038	2	0
315	入到	14949	2	0
316	消防員	14949	2	0
317	銀包	14949	2	0
318	科技	14860	2	1
319	嗄	14771	2	0
320	港人	14771	2	0
321	牙膏	14771	2	0
322	兜過	14593	2	0
323	狗仔	14593	2	0
324	帖子	14576	2	0
325	邊有	14504	2	0
326	香蕉	14504	2	0
327	橙汁	14415	2	0
328	碌	14415	2	0
329	印象	14326	2	1
330	講笑	14326	2	0
