rank	head	essay_frequency	batch_index	direct_syn_tails
1063	眼白白	3559	6	0
1064	等如	3559	6	0
1065	背住	3559	6	0
1066	荃灣	3559	6	0
1067	蔔	3559	6	0
1068	製	3559	6	0
1069	貢	3559	6	1
1070	輔導	3559	6	0
1071	追上	3559	6	0
1072	雞翼	3559	6	0
1073	測量	3552	6	1
1074	斑竹	3550	6	1
1075	得很	3529	6	0
1076	一本	3470	6	0
1077	乸	3470	6	0
1078	冷汗	3470	6	0
1079	合埋	3470	6	0
1080	咁滯	3470	6	0
1081	好地地	3470	6	0
1082	孭	3470	6	0
1083	小食	3470	6	0
1084	愈嚟愈	3470	6	0
1085	日出	3470	6	0
1086	日落	3470	6	0
1087	澈	3470	6	0
1088	甜筒	3470	6	0
1089	結他	3470	6	0
1090	翻到	3470	6	0
1091	識講	3470	6	0
1092	豬扒	3470	6	0
1093	跪低	3470	6	0
1094	銀仔	3470	6	0
1095	陰毛	3470	6	0
1096	高中	3470	6	0
1097	共有	3454	6	0
1098	輸入法	3442	6	0
1099	七七八八	3381	6	0
1100	人仔	3381	6	0
1101	初頭	3381	6	0
1102	勤力	3381	6	0
1103	十點	3381	6	0
1104	呱	3381	6	0
1105	咖	3381	6	0
1106	喃喃	3381	6	1
1107	嗰度	3381	6	0
1108	奸笑	3381	6	1
1109	急不及待	3381	6	0
1110	手指公	3381	6	0
1111	撻	3381	6	0
1112	極之	3381	6	0
1113	泳	3381	6	0
1114	狗公	3381	6	0
1115	瞇	3381	6	0
1116	花名	3381	6	0
1117	落力	3381	6	0
1118	薯仔	3381	6	0
1119	螯	3381	6	0
1120	變做	3381	6	0
1121	邊間	3381	6	0
1122	開燈	3381	6	0
1123	風水	3381	6	0
1124	髮型	3381	6	0
1125	炒作	3377	6	0
1126	最愛	3363	6	0
1127	研究所	3347	6	0
1128	做得	3343	6	0
1129	其他人	3336	6	0
1130	主頁	3296	6	1
1131	設計師	3295	6	0
1132	一嚟	3292	6	0
1133	侍應	3292	6	0
1134	勾起	3292	6	0
1135	反問	3292	6	1
1136	唔覺意	3292	6	0
1137	好靜	3292	6	0
1138	嫌棄	3292	6	1
1139	握手	3292	6	0
1140	晨早	3292	6	0
1141	有型	3292	6	0
1142	水族館	3292	6	0
1143	泥膠	3292	6	0
1144	生還	3292	6	0
1145	的而且確	3292	6	0
1146	聽聞	3292	6	0
1147	茶餐廳	3292	6	0
1148	薯片	3292	6	0
