phase	literal	pos	family	voice	note	trust	stratum	verdict	fix_pos	fix_family	fix_voice	audit_note
p0	享樂主義	n			len4-noun-heuristic	high	high|gate|plain					
p0	但	x			heuristic	high	high|gate|plain					
p0	低落	a			audit-high;review	high	high|gate|plain					
p0	供油系統	n			audit-med;review	high	high|gate|plain					
p0	其他	x			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain					
p0	分解作用	n			len4-noun-heuristic	high	high|gate|plain					
p0	功利主義	n			len4-noun-heuristic	high	high|gate|plain					
p0	區域網絡	n			len4-noun-heuristic	high	high|gate|plain					
p0	原核生物	n			len4-noun-heuristic	high	high|gate|plain					
p0	句	n,x			audit-high;review	high	high|gate|plain					
p0	同時	n,r			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain					
p0	呆	a			cow-multi;p1-audit;review;stative 形；v 假陽會毒同動詞閘	high	high|gate|plain					
p0	唉	x			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain					
p0	啓動技術	n			len4-noun-heuristic	high	high|gate|plain					
p0	國家機構	n			len4-noun-heuristic	high	high|gate|plain					
p0	國立大學	n			len4-noun-heuristic	high	high|gate|plain					
p0	大把	a,r			no-source;fallback;p1-audit;review;粵「好多」	high	high|gate|plain					
p0	姐姐	n			cow-single;p1-cleanup;canto-heuristic;review	high	high|gate|plain					
p0	婦科醫生	n			len4-noun-heuristic	high	high|gate|plain					
p0	完成	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain					
p0	就算	r,x			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain					
p0	幫助	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain					
p0	心理醫生	n			audit-med;review	high	high|gate|plain					
p0	房	n			no-source;fallback;p1-close;rank-u;canto-heuristic;review	high	high|gate|plain					
p0	所屬單位	n			len4-noun-heuristic	high	high|gate|plain					
p0	扁	a,v			no-source;fallback;p1-audit;review;扁平；弄扁	high	high|gate|plain					
p0	投票	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain					
p0	投降主義	n			len4-noun-heuristic	high	high|gate|plain					
p0	援助機構	n			len4-noun-heuristic	high	high|gate|plain					
p0	教育大學	n			len4-noun-heuristic	high	high|gate|plain					
p0	文職人員	n			len4-noun-heuristic	high	high|gate|plain					
p0	本本主義	n			len4-noun-heuristic	high	high|gate|plain					
p0	林芝地區	n			len4-noun-heuristic	high	high|gate|plain					
p0	槓桿原理	n			len4-noun-heuristic	high	high|gate|plain					
p0	樂觀主義	n			len4-noun-heuristic	high	high|gate|plain					
p0	民生主義	n			len4-noun-heuristic	high	high|gate|plain					
p0	氧化作用	n			len4-noun-heuristic	high	high|gate|plain					
