literal	pos	family	voice	note	source	confidence	prior_voice	status
得唔得囉	v		passive	prefix-passive	heuristic	medium		missing
得唔得架	v		passive	prefix-passive	heuristic	medium		missing
得唔得閒	v		passive	prefix-passive	heuristic	medium		missing
得啖笑	v		passive	prefix-passive	heuristic	medium		missing
得啖笑啫	v		passive	prefix-passive	heuristic	medium		missing
得啦你	v		passive	prefix-passive	heuristic	medium		missing
得啦啩	v		passive	prefix-passive	heuristic	medium		missing
得啦得啦	v		passive	prefix-passive	heuristic	medium		missing
得啲	v		passive	prefix-passive	heuristic	medium		missing
得啵	v		passive	prefix-passive	heuristic	medium		missing
得喇	v		passive	prefix-passive	heuristic	medium		missing
得嗰	r		passive	prefix-passive	ssot-patch	medium		empty_voice
得嘅咩	v		passive	prefix-passive	heuristic	medium		missing
得嘎	v		passive	prefix-passive	heuristic	medium		missing
得噃	v		passive	prefix-passive	heuristic	medium		missing
得嚟	v,x		passive	prefix-passive	ssot-patch	medium		empty_voice
得囉	v		passive	prefix-passive	heuristic	medium		missing
得多	r		passive	prefix-passive	ssot-patch	medium		empty_voice
得天獨厚	u	chengyu	passive	prefix-passive	ssot-patch	medium		empty_voice
得失	v		passive	prefix-passive	heuristic	medium		missing
得失參半	u	chengyu	passive	prefix-passive	ssot-patch	medium		empty_voice
得奬*	v		passive	prefix-passive	heuristic	medium		missing
得宜	a		passive	prefix-passive	ssot-patch	medium		empty_voice
得寵	v		passive	prefix-passive	heuristic	medium		missing
得寸進尺	u	chengyu	passive	prefix-passive	ssot-patch	medium		empty_voice
得很	r		passive	prefix-passive	ssot-patch	medium		empty_voice
得得慼慼	v		passive	prefix-passive	heuristic	medium		missing
得心應手	a	chengyu	passive	prefix-passive	ssot-patch	medium		empty_voice
得志	v		passive	prefix-passive	heuristic	medium		missing
得悉	v		passive	prefix-passive	heuristic	medium		missing
得意	a		passive	prefix-passive	ssot-patch	medium		empty_voice
得意忘形	u	chengyu	passive	prefix-passive	ssot-patch	medium		empty_voice
得意揚揚	a	chengyu	passive	prefix-passive	ssot-patch	medium		empty_voice
得意洋洋	u	chengyu	passive	cow-single;prefix-passive	ssot-patch	medium		empty_voice
得意趣緻	v		passive	prefix-passive	heuristic	medium		missing
得意趣致	v		passive	prefix-passive	heuristic	medium		missing
得意門生	n	chengyu	passive	prefix-passive	ssot-patch	medium		empty_voice
得戚	a		passive	prefix-passive	ssot-patch	medium		empty_voice
得手	v		passive	prefix-passive	heuristic	medium		missing
得把口	v		passive	prefix-passive	heuristic	medium		missing
得把嘴	v		passive	prefix-passive	heuristic	medium		missing
得把嘴硬	v		passive	prefix-passive	heuristic	medium		missing
得把牙	v		passive	prefix-passive	heuristic	medium		missing
得把聲	v		passive	prefix-passive	heuristic	medium		missing
得掂	v		passive	prefix-passive	heuristic	medium		missing
得敕	v		passive	prefix-passive	heuristic	medium		missing
得敕喇你	v		passive	prefix-passive	heuristic	medium		missing
得數	v		passive	prefix-passive	heuristic	medium		missing
得時	v		passive	prefix-passive	heuristic	medium		missing
得未啊	v		passive	prefix-passive	heuristic	medium		missing
得架嘞	v		passive	prefix-passive	heuristic	medium		missing
得棚牙	v		passive	prefix-passive	heuristic	medium		missing
得標	v		passive	prefix-passive	heuristic	medium		missing
得法	v		passive	prefix-passive	heuristic	medium		missing
得滯	a,r		passive	prefix-passive	ssot-patch	medium		empty_voice
得濟	v		passive	prefix-passive	heuristic	medium		missing
得無	v		passive	prefix-passive	heuristic	medium		missing
得物無所用	v		passive	prefix-passive	heuristic	medium		missing
得獎	v		passive	prefix-passive	heuristic	medium		missing
得獎人	v		passive	prefix-passive	heuristic	medium		missing
得獎者	v		passive	prefix-passive	heuristic	medium		missing
得理不饒人	v		passive	prefix-passive	heuristic	medium		missing
得瑟	v		passive	prefix-passive	heuristic	medium		missing
得用	v		passive	prefix-passive	heuristic	medium		missing
得當	v		passive	prefix-passive	heuristic	medium		missing
得病	v		passive	prefix-passive	heuristic	medium		missing
得益	n		passive	cow-single;prefix-passive	cow	medium		missing
得益於	v		passive	prefix-passive	heuristic	medium		missing
得益規條	v		passive	prefix-passive	heuristic	medium		missing
得直	v		passive	prefix-passive	heuristic	medium		missing
得着	v		passive	prefix-passive	heuristic	medium		missing
得知	v		passive	prefix-passive	ssot-patch	medium		empty_voice
得票	v		passive	prefix-passive	heuristic	medium		missing
得空	v		passive	prefix-passive	heuristic	medium		missing
得米	v		passive	prefix-passive	heuristic	medium		missing
得罪	n,v		passive	cow-multi;prefix-passive	ssot-patch	medium		empty_voice
得罪人多，稱呼人少	v		passive	prefix-passive	heuristic	medium		missing
得罪曬	v		passive	prefix-passive	heuristic	medium		missing
得罪講句	v		passive	prefix-passive	heuristic	medium		missing
得翻	v		passive	prefix-passive	heuristic	medium		missing
得而復失	v	chengyu	passive	prefix-passive	ssot-patch	medium		empty_voice
得臉	v		passive	prefix-passive	heuristic	medium		missing
得落	v		passive	prefix-passive	heuristic	medium		missing
得著	v		passive	prefix-passive	heuristic	medium		missing
得虧	v		passive	prefix-passive	heuristic	medium		missing
得計	v		passive	prefix-passive	heuristic	medium		missing
得記	v		passive	prefix-passive	heuristic	medium		missing
得返一個	v		passive	prefix-passive	heuristic	medium		missing
得返學位	v		passive	prefix-passive	heuristic	medium		missing
得逞	v		passive	prefix-passive	heuristic	medium		missing
得過	v		passive	prefix-passive	ssot-patch	medium		empty_voice
得過且過	v	chengyu	passive	prefix-passive	ssot-patch	medium		empty_voice
得道	v		passive	prefix-passive	heuristic	medium		missing
得道多助	u	chengyu	passive	prefix-passive	ssot-patch	medium		empty_voice
得道多助，失道寡助	v		passive	prefix-passive	heuristic	medium		missing
得鋪牛力	v		passive	prefix-passive	heuristic	medium		missing
得閑	v		passive	prefix-passive	heuristic	medium		missing
得閒	a,v		passive	prefix-passive	ssot-patch	medium		empty_voice
得閒不	v		passive	prefix-passive	heuristic	medium		missing
得閒你	v		passive	prefix-passive	heuristic	medium		missing
得閒冇屎屙	v		passive	prefix-passive	heuristic	medium		missing
得閒再傾	v		passive	prefix-passive	heuristic	medium		missing
得閒再嚟	v		passive	prefix-passive	heuristic	medium		missing
得閒呢	v		passive	prefix-passive	heuristic	medium		missing
得閒啦	v		passive	prefix-passive	heuristic	medium		missing
得閒嗎	v		passive	prefix-passive	heuristic	medium		missing
得閒嚟坐	v		passive	prefix-passive	heuristic	medium		missing
得閒死唔得閒病	v		passive	prefix-passive	heuristic	medium		missing
得閒飲茶	v		passive	prefix-passive	heuristic	medium		missing
得閒麼	v		passive	prefix-passive	heuristic	medium		missing
得隴望蜀	v	chengyu	passive	prefix-passive	ssot-patch	medium		empty_voice
得饒人處且饒人	u	chengyu	passive	prefix-passive	ssot-patch	medium		empty_voice
得體	a		passive	prefix-passive	ssot-patch	medium		empty_voice
得魚忘筌	u	chengyu	passive	prefix-passive	ssot-patch	medium		empty_voice
給不到	v		passive	prefix-passive	heuristic	medium		missing
給予	v		passive	cow-single;prefix-passive	ssot-patch	medium		empty_voice
給付	v		passive	prefix-passive	heuristic	medium		missing
給以	v		passive	prefix-passive	heuristic	medium		missing
給你發現	v		passive	prefix-passive	heuristic	medium		missing
給回你	v		passive	prefix-passive	heuristic	medium		missing
給定	v		passive	prefix-passive	heuristic	medium		missing
給水	v		passive	prefix-passive	heuristic	medium		missing
給虐	v		passive	prefix-passive	heuristic	medium		missing
給錢	v		passive	cow-single;prefix-passive	ssot-patch	medium		empty_voice
給養	v		passive	prefix-passive	heuristic	medium		missing
被上訴人	v		passive	prefix-passive	ssot-patch	medium		empty_voice
被乘數	n		passive	cow-single;prefix-passive	cow	medium		missing
被加數	n		passive	cow-single;prefix-passive	cow	medium		missing
被動	v		passive	prefix-passive	ssot-patch	medium		empty_voice
