literal	answer	pos	family	source	evidence
燒壞瓦	唔入疊	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
牆頭草	兩邊擺	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
牛皮燈籠	點極唔明	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
牛𡁻牡丹	唔知花定草	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
狗上瓦坑	有條路	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
狗咬賊仔	暗啞底	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
玻璃眼鏡	假晶	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
珠璣路尾	多餘	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
瓦荷包	有兩個錢就當當響	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
瓦風嶺	包頂頸	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
生仔姑娘醉酒佬	唔制	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
生草藥	噏得就噏	r	xiehouyu	cantonese-md:idioms	answer-manner;explanation-reviewed
生蟲拐杖	靠唔住	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
生骨大頭菜	縱壞	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
甩柄士巴拿	得棚牙	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
甩頭筆	唔捨得	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
田雞過河	各有各躥	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
番薯跌落灶	該煨	u	xiehouyu	cantonese-md:idioms	answer-wordplay;explanation-reviewed
番鬼佬月餅	悶極	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
番鬼佬睇榜	掉轉嚟	r	xiehouyu	cantonese-md:idioms	answer-manner;explanation-reviewed
番鬼婆大肚	心懷鬼胎	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
白鱔上沙灘	唔死一身潺	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
百斤加一	多你一個唔多，少你一個唔少	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
皇帝女	唔憂嫁	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
皮鞋筋	一扯到口	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
盲公開眼	酸得厲害	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
石地堂對鐵掃把	硬碰硬	r	xiehouyu	cantonese-md:idioms	answer-manner;explanation-reviewed
石灣公仔	冇腸肚	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
石灰鋪路	白行	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
石罅米	畀雞啄	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
神仙放屁	不同凡響	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
神仙過鐵橋	包穩陣	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
神檯桔	陰乾	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
神檯貓屎	神憎鬼厭	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
禮樂射	預輸數	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
秀才手巾	包書	u	xiehouyu	cantonese-md:idioms	answer-wordplay;explanation-reviewed
秋蟬跌落地	冇晒聲	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
童子軍跳彈床	事鳩但	r	xiehouyu	cantonese-md:idioms	answer-manner;explanation-reviewed
竹織鴨	冇心肝	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
筲箕兜水	漏洞百出	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
紙紮下巴	口輕輕	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
細佬吹喇叭	嘥鳩氣	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
細佬哥剃頭	就快就快	r	xiehouyu	cantonese-md:idioms	answer-manner;explanation-reviewed
細佬哥玩泥沙	兒戲	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
縮沙	走仁	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
老公撥扇	淒涼	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
老公荷包	膚淺	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
老婆擔遮	陰功	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
老火炆鴨	得把嘴硬	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
老舉埋年	算鳩數	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
老虎借豬	有借冇還	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
老鼠尾生瘡	大極有限	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
肥佬着笠衫	幾大就幾大	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
肥婆坐屎塔	佮佮冚	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
船頭尺	度水	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
茅根竹	借水	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
茶樓搬家	另起爐灶	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
茶瓜送飯	好人有限	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
菠蘿雞	一味靠黐	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
落雨擔遮	死黨	n	xiehouyu	cantonese-md:idioms	answer-nominal;explanation-reviewed
蜑家雞見水	得個睇字	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
裁縫度身	有分寸	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
護照照片	出洋相	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
豉油撈飯	整色整水	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
豬籠入水	財源滾滾	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
豬頭骨	難啃	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
貓咪洗面	係咁意	r	xiehouyu	cantonese-md:idioms	answer-manner;explanation-reviewed
賊佬試沙煲	試過先知	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
賣布唔帶尺	存心不良	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
賣魚佬沖涼	冇聲氣	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
賣鯇魚尾	搭嘴	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
跑馬射蚊髭	十分渺茫	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
跪地餼豬乸	睇錢份上	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
鐵拐李踢足球	一腳踢	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
閉眼射靶	唔妙	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
閻羅王探病	問你死未	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
閻羅王請人	搵鬼做	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
閻羅王開攤	搵鬼買	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
關公細佬	亦得	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
阿婆食粥	無恥下流	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
阿崩叫狗	越叫越走	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
阿聾送殯	唔聽你支死人笛	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
阿茂整餅	冇嗰樣整嗰樣	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
阿蘭嫁阿瑞	大家累鬥累	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
阿超著褲	焗住	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
除褲放屁	多此一舉	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
陳年中草藥	發爛渣	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
陳村碼頭	逢賭必啱	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
陸雲庭睇相	唔衰攞嚟衰	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
隔夜油炸鬼	冇晒火氣	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
隔夜痰罐	唔倒唔得	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
隔年通勝	唔值錢	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
雞食放光蟲	心知肚明	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
雷公劈豆腐	搵軟嘅嚟蝦	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
電燈膽	唔通氣	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
非洲和尚	乞人憎	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
風吹雞蛋殼	財散人安樂	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
飛機打交	高竇	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
飛機火燭	燒雲	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
飛機運茶壺	高水平	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
食咗成擔蒜頭	大口氣	n	xiehouyu	cantonese-md:idioms	answer-nominal;explanation-reviewed
香蕉樹影	粗枝大葉	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
馬騮臭狐	唔係人咁味	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
魚生粥	僅僅熟	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
黃皮樹鷯哥	唔熟唔食	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
黑白天鵝	日哦夜哦	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
鼎湖上素	好齋	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
